word,freq
사랑, 2
것, 22
연풍, 1
배틀, 2
일레븐, 1
번, 1
슬립, 1
복싱, 17
게, 5
플래툰, 1
격감, 1
화로, 2
대란, 1
이해, 1
동안, 1
헤헤, 1
맘스터치, 1
스모, 2
천, 1
취향, 2
첫, 2
요새, 1
캐릭터, 2
미니멈, 1
시간, 11
저격, 2
공황장애, 1
꿀빠니즘, 1
양성평등, 1
슥슥, 1
해뎔, 1
더테일, 1
어찌, 1
스팀, 2
점심, 1
팔로우, 1
쥬르쥿상, 1
무릎, 1
발굴, 1
고향, 1
올림픽, 2
노답잉생, 1
시방, 1
추쿠, 1
해보렵니, 1
덕분, 1
필름, 2
시청률, 1
드, 1
워마드, 1
비트, 1
곧, 3
골, 1
성적, 1
벌레, 1
듯, 8
무리, 1
등, 1
통신비, 1
일기장, 1
곳, 1
보, 5
복, 1
볼, 1
유령, 1
수백, 1
읍니, 1
뱅킹, 1
마지막, 2
목요일, 1
초, 1
봉, 1
중간, 2
절감, 1
순식간, 1
디, 1
드라마, 2
아마, 1
조이, 1
총, 1
안드로이드, 2
촤, 1
세이, 1
가성, 1
엉망, 1
보리밥, 1
노래, 1
오후, 1
악순환, 1
중반, 1
뽕짝, 1
면서, 1
땀, 1
감흥, 1
기분, 1
추크, 1
브람스, 1
틈틈이, 1
전곡, 1
땅, 1
안, 4
소화관, 1
때, 13
알, 3
디지털, 1
찬가, 1
스트레칭, 1
노잼, 1
먼저, 1
수강신청, 1
울프, 2
아누, 1
계속, 6
내일, 1
앞, 1
퀴어퍼레이드, 1
애, 1
노하우, 1
연구, 1
함, 1
연애, 3
전공, 1
도타, 1
구, 1
순간, 2
군, 1
고비, 1
정신, 1
루테, 1
해, 7
일주일, 3
제대로, 2
약, 2
기업, 1
부, 2
리지, 1
분, 1
한글화, 1
퀘스트, 1
다가, 1
구분, 1
장난, 6
기억, 3
양, 1
버즈, 2
알라딘, 1
낚시, 1
시골, 1
분명, 1
빈틈, 1
얘, 1
방법, 1
요즘, 15
그것, 2
조련, 1
춤, 1
궤, 1
객기, 1
해결, 3
충, 2
동계올림픽, 1
처음, 5
신품, 1
정보화, 1
슈타인, 1
연출, 1
루즈, 3
레벨, 1
공간, 1
미스, 5
듣기, 1
명작, 2
아이폰, 1
어플, 2
신경, 1
모델, 1
이후, 1
코스, 8
신체, 2
학점, 5
개막식, 3
후반, 1
상황, 2
공개, 1
한장, 1
신청, 2
폭발, 2
라떼, 1
호메로스, 1
플텍, 1
쯔음, 1
무슨, 2
전부, 2
사서, 2
여, 1
업데이트, 1
바람, 2
연, 1
국어, 1
용이, 1
열, 1
강의, 2
죽음, 1
삐걱, 1
그, 5
역기, 1
적극, 1
글, 2
물집, 2
할인, 2
무니, 1
확장팩, 1
트레인, 1
급, 2
이벤트, 1
위처, 2
측정, 1
또, 2
쫀득쫀득, 1
감정, 1
마무리, 2
젤리, 1
야간, 4
우울, 1
옥자, 3
블, 1
신고, 1
에피소드, 2
건가, 2
덕후, 1
글짓기, 1
음식점, 1
워킹데드, 1
갘음, 1
그동안, 2
단백질, 1
육성, 1
비밀, 3
개월, 1
기, 1
서도, 1
쥐약, 1
이유, 2
디아블로, 1
옷, 1
브라질, 2
단간론파, 3
잘못, 1
공격, 1
그때, 1
비, 4
라이프, 1
가랑비, 1
교과서, 1
소화, 1
자동, 1
화, 4
확, 4
왕, 1
정도, 1
반의, 1
진입, 1
환, 1
용량, 1
수학, 1
문명, 1
하나, 1
왜, 8
간만, 1
칠, 1
빢, 1
시험, 5
답니, 2
중국, 1
깨, 1
점검, 2
아무, 3
우유, 1
학사, 1
군함도, 2
발휘, 1
입학, 1
리스, 1
카, 4
빵, 2
스벅, 1
직전, 2
보고, 4
달동, 1
진행중, 2
이콘, 1
판이, 2
보드, 1
항우울제, 1
사진, 1
스카이림, 1
파우치, 2
사막, 3
소용, 1
전형, 1
하루, 1
먹통, 1
회, 1
선풍기, 3
독립, 2
세상, 2
뺑, 1
마음, 1
요, 7
유리, 1
일어나서, 2
부각, 1
내내, 1
배경, 2
안대, 1
가슴, 1
한바탕, 1
리믹스, 1
시청자, 1
본체, 1
버튼, 1
우의, 1
매니아, 1
갈릭, 1
강제, 1
소울, 5
수업, 1
보디, 4
버스, 2
초등학생, 1
존나, 1
움, 1
지나, 1
만유, 1
난이도, 2
후, 6
지난, 1
프라푸치노, 1
개인, 1
전화, 1
악세사리, 3
액정, 2
워, 1
짯다, 1
동작, 9
분위기, 1
크리, 1
사만원, 1
생각, 14
링크, 1
교수, 1
타임, 3
바로, 1
씨유, 1
초대, 1
세계대전, 1
반절, 1
택배, 2
막장, 2
엑스, 1
퀄리티, 1
갑자기, 4
서버, 2
레프트, 2
수영, 2
나이트, 4
성소수자, 1
컴, 1
상자, 1
웹, 1
닌텐도, 1
팔이, 1
회포, 1
반전, 1
범주, 1
복구, 1
크라운, 4
위, 11
경찰, 1
장수, 1
윌, 1
작품, 2
버거킹, 2
방문객, 1
판정, 4
키스트, 2
모델링, 1
모드, 1
잠시, 2
관찰, 1
원가, 1
박살, 1
몽쉘, 1
군용, 1
오딧세이, 1
신형, 1
꼭, 1
모든, 1
이제, 7
제도, 1
미개, 1
매번, 1
금방, 1
치명, 1
세션, 1
만인, 1
품목, 1
자체, 1
알티, 2
찌린, 1
파산, 1
만이, 1
은, 4
꽃, 1
에어팟, 1
스토리, 3
뒹굴둥길, 1
자고, 2
음, 1
개새끼, 1
배불, 1
흐, 1
칼로리, 2
전원, 1
차카, 2
젤다, 8
의, 1
쓰기, 1
빠리, 1
프롤로그, 1
연휴, 2
흠, 1
음악, 1
충전, 1
꽤, 3
알거지, 1
정보, 1
적응, 1
어비스, 1
개정, 2
센터, 2
이, 4
콘도, 1
간다, 2
시나리오, 1
장면, 1
때문, 3
블루투스, 1
일, 2
복귀, 1
미풍, 1
임, 1
입, 1
피하, 1
전쟁씬, 1
여럿, 1
도시, 2
종일, 1
자, 1
작, 1
저스트, 4
아두, 1
죽겄다, 1
연락, 1
오른쪽, 1
우울증, 10
여러, 1
피피, 1
죤내커, 1
태고, 2
본부, 1
잠, 1
사실, 1
교대, 1
시위, 1
참고, 2
어사일럼, 1
파이널판타지, 2
프레임, 1
함정, 1
의미, 2
던전, 2
잼, 1
전율, 1
체험, 1
메일, 1
꿀, 2
따위, 1
기적, 1
량, 1
위빙, 3
뿐, 1
거기, 1
이상, 1
클리어, 1
취사, 1
배그, 2
글쓰기, 1
흐알, 1
