Name,NameDong,First,FirstDong,Way,Second,SecondDong,Third,ThirdDong
해동학술관,32-1,301동 제1공학관,301,,200동 농업생명과학대학,200,25동 25동,25
42-1동,42-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
공대 멀티미디어강의동2(이공계),43-1,21동 약학대학 약학관1,21,,85동 수의과대학,85,75-1동 제3식당 (전망대) 제3학생식당,75-1
공대 신양학술정보관 I,44-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
미술대학 실습동,52-1,52동 미술대학 예술관3,52,,55동 음악대학 예술관3,55,49동 예술관,49
행정대학원,57-1,55동 음악대학 예술관3,55,,58동 경영대학 (SK경영관),58,52동 미술대학 예술관3,52
관정도서관,62-1,62-1동 관정도서관,62-1,,62동 중앙도서관,62,85동 수의과대학,85
신림변전소,68-1,222동 생활과학대학,222,,55동 음악대학 예술관3,55,58동 경영대학 (SK경영관),58
영선공장,68-2,222동 생활과학대학,222,,55동 음악대학 예술관3,55,49동 예술관,49
체육문화교육연구동,71-1,58동 경영대학 (SK경영관),58,,222동 생활과학대학,222,113동 동원생활관,113
포스코스포츠센터,71-2,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
제3식당 (전망대) 제3학생식당,75-1,200동 농업생명과학대학,200,,301동 제1공학관,301,25동 25동,25
수의생물자원연구동,85-1,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
우천법학관 법대첨단강의동,15-1,16-1동 사회대 신양학술정보관,16-1,,15동 법과대학 법학관1,15,16동 사회대,16
사회대 신양학술정보관,16-1,16-1동 사회대 신양학술정보관,16-1,,16동 사회대,16,15동 법과대학 법학관1,15
25-1동,25-1,18동 자연과학대학 자연과학관1,18,,102동 정보화본부,102,63동 학생회관,63
교육정보관,10-1,10-1동 교육정보관,10-1,,9동 사범대학 사범관1,9,12동 기초사범교육협력센터 사범대더랩,12
반도체공동연구소 교육관 반도체교육관,104-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
언어교육원 CJ어학관,137-1,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
대림국제관,137-2,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
정전가속기동,139-1,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
롯데국제교육관,152-1,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
16-A동,16-A,16동 사회대,16,,16-1동 사회대 신양학술정보관,16-1,113동 동원생활관,113
미술대학,미술대학,50동 미술대학 예술관1,50,,52동 미술대학 예술관3,52,55동 음악대학 예술관3,55
파스쿠찌 서울대점,파스쿠찌,12동 기초사범교육협력센터 사범대더랩,12,,9동 사범대학 사범관1,9,10-1동 교육정보관,10-1
서울대학교 정문,,113동 동원생활관,113,,58동 경영대학 (SK경영관),58,16동 사회대,16
